date,location,text
2022-01-27 23:45:46,b'Espa\xc3\xb1a/USA/Dub\xc3\xa1i',b'@Zhoram @Oscar31953617 @Charkito4 pero si lo hace tu eres quien insulta...y te insultas estas cabread@ por que yo tengo mi sangre limpia y tu puede que te mueras por la vacuna? https://t.co/zZ4ffVRbqu'
2022-01-27 23:44:35,b'Spain',"b'@Hernan_Conquer @Ines12776320 @Crisfalconida @navedelmisterio @ccarballo50 Eso ha sido seguro por la vacuna. Parece ser que tambi\xc3\xa9n alarga el pene, hace crecer las tetas y hace que los mudos hablen y los paral\xc3\xadticos anden. Con 3 dosis eres ya casi como Superman'"
2022-01-27 23:44:25,"b'Burgos, Espa\xc3\xb1a'","b'@PoliciadeBurgos Saben qu\xc3\xa9 vacunas se est\xc3\xa1n poniendo? pficer, moderna,etc. Cu\xc3\xa1l es?'"
2022-01-27 23:43:16,b'Espa\xc3\xb1a',"b'Hubo el a\xc3\xb1o pasado (2020) un estudio igual que el de pfizer, sin embargo era merck el laboratorio y que estaba bastante avanzado. Hable de esto en enero de 2020 en @MinutoCrucial #Horizonte #molnupiravir \nAqu\xc3\xad https://t.co/FL5RP3OQmE'"
2022-01-27 23:42:55,"b'Murcia, Espa\xc3\xb1a'","b'@ccarballo50 @navedelmisterio @carmenporter_ @doctorgaona Cesar, de verdad hay que entender a los no vacunados? A mi me han dado reacci\xc3\xb3n las dos \xc3\xbaltimas vacunas, pero me he vacunado por m\xc3\xad y por los dem\xc3\xa1s. Es que no entiendo nada'"
2022-01-27 23:41:59,"b'Catalu\xc3\xb1a, Espa\xc3\xb1a'",b'La tercera vacuna que se la ponga mi prima la de Cuenca #Horizonte'
2022-01-27 23:40:53,"b'Catalu\xc3\xb1a, Espa\xc3\xb1a'",b'@Mcotsar Vaya gran mierda. Por aportar mi experiencia las vacunas nada pero pas\xc3\xa9 covid hace poco y apenas me vino regla. El primer dia suelo sacar muchisima sangre y post Covid apenas he sangrado. Y dolor menos de lo normal tambien. A ver la siguiente.. mi mam\xc3\xa1 dice que sacare x2 \xf0\x9f\xa5\xb2'
2022-01-27 23:40:32,b'Barcelona (Espa\xc3\xb1a).',"b'@EGalueMozo @LeilaYLab @fenris1234 @albertodtra @ezikusia @Jaque100cia @rochipacitos @nati_alva @infobae Cambiar de opini\xc3\xb3n = ADOCTRINAR para meter a la gente al reba\xc3\xb1o y LUCRARSE DE LA FALSA VACUNA \xf0\x9f\x92\x89\xf0\x9f\x90\x91\xf0\x9f\x90\x91\xf0\x9f\x90\x91\xf0\x9f\x90\x91.\n\nConmigo, estar\xc3\xadas en las colas del hambre, donde est\xc3\xa1n los que hab\xc3\xa9is arruinado con la falsa pandemia, pues casi 3 meses con el negocio cerrado, es una ruina...'"
2022-01-27 23:39:58,"b'Albacete, Espa\xc3\xb1a'","b'@eldelaviga Yo lo que me pregunto es, \xc2\xbfpor que no es delito de odio que este se\xc3\xb1o diga ""los antivacunas"" incluyendo a gente como yo que no estoy inyectado de la Covid, pero tengo mi cartilla de vacunas reales completa?'"
2022-01-27 23:39:21,"b'Barcelona, Espa\xc3\xb1a'",b'@omf9891 Si lo se hermanito pero si tienes las dos dosis de la vacuna no creo que tengas problemas para ingresar'
2022-01-27 23:38:40,b'Espa\xc3\xb1a/USA/Dub\xc3\xa1i',b'@Zhoram @Oscar31953617 @Charkito4 que pasa ahora tienes miedo? en la misma OMS lo dijo que la vacuna mata. https://t.co/RqPL3kiWOJ'
2022-01-27 23:37:57,b'Espa\xc3\xb1a',"b'@navedelmisterio Si, pero Pfizer.\nTodo los dem\xc3\xa1s medicamentos borrados del mapa.\nSi la vacuna ataca el sistema inmune, como se la vamos a dar a pacientes inmunodeficienctes?'"
2022-01-27 23:36:58,"b'Sitges, Espa\xc3\xb1a'","b'@Zarabandiuka @Convercat @InesSainzOf Buuuffffffestas vacunas no son efectivas 100 por cien, y ninguna medicina. El problema es que estamos en una  pandemia y puede derivar en una catastrofe. Diria que las vacunas te dan una herramienta contra el virus, a muchos les ira bien y algunos no tanto, evitando un mal menor'"
2022-01-27 23:36:03,"b'Madrid, Espa\xc3\xb1a'","b'@navedelmisterio Y esto es porque te han pinchado tres, cuatro, cinco... chutes de algo que llaman vacuna y que no te vale para nada, \xc2\xbfno? Ahora hay que pincharse y tomarse unas pastis. \xc2\xbfAlguien le ve sentido a esto?'"
2022-01-27 23:35:47,"b'Galicia, Espa\xc3\xb1a'","b'#Horizonte tanta historia con el virus... Con unas vacunas que ten\xc3\xadan que ser transportadas en congeladores de -80\xc2\xb0C... Y resulta que ahora hay p\xc3\xadldoras a temperatura ambiente para este virus tan peligroso.\n\nPor supuesto, tambi\xc3\xa9n de marca Pfizer. \n\nFollow the money \xf0\x9f\x92\xb8'"
2022-01-27 23:33:23,b'Espa\xc3\xb1a/USA/Dub\xc3\xa1i',b'@Zhoram @Oscar31953617 @Charkito4 esas son muertes por las vacunas no por el covid19  documento oficial del ministerio de sanidad Espa\xc3\xb1ol lo dice claro no tienen datos del virus. https://t.co/0N706avGuG'
2022-01-27 23:31:20,b'Madrid (Spain)',"b'@navedelmisterio \xc2\xbfPor qu\xc3\xa9 no habl\xc3\xa1is de #blackrock?? \xc2\xbfPor qu\xc3\xa9 no habl\xc3\xa1is de q el d\xc3\xada 31 caduca la autorizaci\xc3\xb3n \xe2\x80\x9cextraordinaria\xe2\x80\x9d q dio la OMS a Pfizer para las vacunas?? Habr\xc3\xa1 que gastar las vacunas compradas, por eso tanto \xc3\xa9nfasis de algunos medios a ponerse #terceradosis #horizonte @doctorgaona'"
2022-01-27 23:30:44,"b'A Coru\xc3\xb1a, Espa\xc3\xb1a'",b'@GonzaBergessio Lo cito y el nabi no tiene las vacunas'
2022-01-27 23:30:36,b'espa\xc3\xb1a',b'Misma vacuna con alg\xc3\xban retoque para un resfriado que para el sida! \nQue raro no? \n\nhttps://t.co/K7YmJFKIUc'
2022-01-27 23:30:17,b'Espa\xc3\xb1a',b'tengo familiar que se han puesto las tres vacunas #Horizonte'
2022-01-27 23:30:16,b'Reino de Espa\xc3\xb1a & worldwide',"b'#Horizonte \n""Si el problema real fuera sanitario, el mercado negro ser\xc3\xada de vacunas. Que haya un mercado negro de pasaportes evidencia que el problema es de LIBERTAD.""\nChapeau, @doctorgaona \xf0\x9f\x91\x8f\xf0\x9f\x94\x9d'"
2022-01-27 23:30:05,"b'Madrid, Espa\xc3\xb1a'",b'@informativost5 Pod\xc3\xa9is sacar ma\xc3\xb1ana en primera plana q @sanidadgob ha dejado caducar 1.000.000 d vacunas? Dinero tirado por el retrete porque no alimenta chiringuitos progres. Y luego nos piden q moderemos el gasto en medicamentos \xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae'
2022-01-27 23:29:42,b'Barcelona (Espa\xc3\xb1a).',"b'@SativusRaphanus @EsteveBoix @Jaque100cia @AdryRo87 @fenris1234 @LeilaYLab @albertodtra @ezikusia @rochipacitos @nati_alva @infobae Es lo que sucede cuando se sale de LA VERSI\xc3\x93N OFICIAL. Por ejemplo, Rafa Nadal, de repente pro vacunas, KIA, uno de los patrocinadores, \xc2\xa1Uy, ah\xc3\xad est\xc3\xa1 BLACKROCK, creando una lluvia de millones, para comprar voluntades y pensamientos! Busca busca, pero no en lo oficial. https://t.co/hPTlBz35Rp'"
2022-01-27 23:29:08,b'Espa\xc3\xb1a',"b'#Horizonte Hoy en el programa: \n\xe2\x80\x9cLas vacunas son seguras, pero es una tonter\xc3\xada vacunarse porque para las nuevas variantes no valen\xe2\x80\x9d \n\xe2\x80\x9cLas vacunas son seguras, pero ojo con los efectos secundarios\xe2\x80\x9d\n\xe2\x80\x9cLas vacunas son seguras, pero no sabemos porque hay que seguir vacun\xc3\xa1ndose.'"
2022-01-27 23:28:50,b'Espa\xc3\xb1a',"b'@Mcotsar En mi caso, tengo una menstruaci\xc3\xb3n completamente irregular, ha llegado un punto que en un a\xc3\xb1o solo me vino 2 veces. Con la primera y la segunda vacuna, me ha venido durante este tiempo y los dias que aparentemente me tocaba. No he visto mi periodo tan regular en mi vida. \xf0\x9f\x98\x85'"
2022-01-27 23:28:45,"b'Granada, Espa\xc3\xb1a.'","b'Si antes de la pandemia se necesitaban de 8 a 10 a\xc3\xb1os para sacar una vacuna fiable. Ahora en tan poco tiempo, debe de haber miles de fallos hasta dar con la soluci\xc3\xb3n. #Horizonte'"
